VERSION,x86_64-macos,x86_64-win32,x86_64-linux
1.2.38,0,0,0
1.2.39,0,0,0
1.2.40,0,0,0
1.2.41,0,0,0
1.2.42,0,0,0
1.2.43,0,0,0
1.2.44,0,0,0
1.2.45,0,0,0
1.2.46,0,0,0
1.2.47,0,0,0
1.2.48,0,0,0
1.2.49,0,0,0
1.2.50,0,0,0
1.2.51,0,0,0
1.2.52,0,0,0
1.2.53,0,0,0
1.2.54,0,0,0
1.2.55,0,0,0
1.2.56,0,0,0
1.2.57,0,0,0
1.2.58,0,0,0
1.2.59,0,0,0
1.2.60,0,0,0
1.2.61,0,0,0
1.2.62,0,0,0
1.2.63,0,0,0
1.2.64,0,0,0
1.2.65,0,0,0
1.2.66,0,0,0
1.2.67,0,0,0
1.2.68,0,0,0
1.2.69,0,0,0
1.2.70,0,0,0
1.2.71,0,0,0
1.2.72,0,0,0
1.2.73,0,0,0
1.2.74,0,0,0
1.2.75,0,0,0
1.2.76,0,0,0
1.2.77,0,0,0
1.2.78,0,0,0
1.2.79,0,0,0
1.2.80,0,0,0
1.2.81,0,0,0
1.2.82,0,0,0
1.2.83,0,0,0
1.2.84,0,0,0
1.2.85,0,0,0
1.2.86,0,0,0
1.2.87,0,0,0
1.2.88,0,0,0
1.2.89,0,0,0
1.2.90,0,0,0
1.2.91,0,0,0
1.2.92,0,0,0
1.2.93,0,0,0
1.2.94,0,0,0
1.2.95,0,0,0
1.2.96,0,0,0
1.2.97,0,0,0
1.2.98,0,0,0
1.2.99,0,0,0
1.2.100,0,0,0
1.2.101,0,0,0
1.2.102,0,0,0
1.2.103,0,0,0
1.2.104,0,0,0
1.2.105,0,0,0
1.2.106,0,0,0
1.2.107,0,0,0
1.2.108,0,0,0
1.2.109,0,0,0
1.2.110,0,0,0
1.2.111,0,0,0
1.2.112,0,0,0
1.2.113,0,0,0
1.2.114,0,0,0
1.2.115,0,0,0
1.2.116,0,0,0
1.2.117,0,0,0
1.2.118,0,0,0
1.2.119,0,0,0
1.2.120,0,0,0
1.2.121,0,0,0
1.2.122,0,0,0
1.2.123,0,0,0
1.2.124,0,0,0
1.2.125,0,0,0
1.2.126,0,0,0
1.2.127,0,0,0
1.2.128,0,0,0
1.2.129,0,0,0
1.2.130,0,0,0
1.2.131,0,0,0
1.2.132,0,0,0
1.2.133,0,0,0
1.2.134,0,0,0
1.2.135,0,0,0
1.2.136,0,0,0
1.2.137,0,0,0
1.2.138,0,0,0
1.2.139,0,0,0
1.2.140,0,0,0
1.2.141,0,0,0
1.2.142,0,0,0
1.2.143,0,0,0
1.2.144,0,0,0
1.2.145,0,0,0
1.2.146,0,0,0
1.2.147,0,0,0
1.2.148,0,0,0
1.2.149,0,0,0
1.2.150,0,0,0
1.2.151,0,0,0
1.2.152,0,0,0
1.2.153,0,0,0
1.2.154,0,0,0
1.2.155,0,0,0
1.2.156,0,0,0
1.2.157,0,0,0
1.2.158,0,0,0
1.2.159,0,0,0
1.2.160,0,0,0
1.2.161,0,0,0
1.2.162,0,0,0
1.2.163,0,0,0
1.2.164,0,0,0
1.2.165,0,0,0
1.2.166,0,379211064,389782411
1.2.167,0,379233953,389806827
1.2.168,0,379247672,389820694
1.2.169,0,380250261,390854804
1.2.170,0,412104755,422618946
1.2.171,0,401842184,411750125
1.2.172,0,0,0
1.2.173,0,0,0
1.2.174,0,0,0
1.2.175,0,0,0
1.2.176,0,0,0
1.2.177,0,0,0
1.2.178,0,0,0
1.2.179,0,0,0
1.2.180,0,0,0
1.2.181,0,0,0
1.2.182,0,0,0
1.2.183,0,0,0
1.2.184,0,0,0
1.2.185,0,0,0
1.2.186,0,0,0
1.2.187,0,0,0
1.2.188,0,0,0
1.2.189,0,0,0
1.2.190,0,0,0
1.2.191,0,0,0
1.2.192,0,0,0
1.3.0,0,316587682,338349627
1.3.1,0,316938412,338701661
1.3.2,0,317929250,339693745
1.3.3,0,317929250,339693745
1.3.4,0,318865565,339246852
1.3.5,0,323399058,343681626
1.3.6,303920706,321976637,340424381
1.3.7,305512193,323659539,342069010
1.4.0,305704738,323415393,342046616
1.4.1,307442628,324990713,344815491
1.4.2,308844936,326502655,346331519
1.4.3,316487202,334328425,354158743
1.4.4,323940699,341762218,362593296
1.4.5,323505007,341407857,362239249
1.4.6,322872935,340695080,361990391
